anime_norm_title,score,production_cost,avg_sentiment,award,cr_award_winner
blue lock,8.17,200000.0,0.0998687499999999,Not Award Winning,Not Crunchyroll Winner
beelzebub,7.84,100000.0,0.0685714285714285,Not Award Winning,Not Crunchyroll Winner
barakamon,8.37,150000.0,0.1375,Not Award Winning,Not Crunchyroll Winner
charlotte,7.75,200000.0,0.2911884371915669,Not Award Winning,Not Crunchyroll Winner
shirobako,8.27,300000.0,0.25,Award Winning,Not Crunchyroll Winner
jormungand,7.79,100000.0,0.04,Not Award Winning,Not Crunchyroll Winner
ergo proxy,7.9,300000.0,0.2089763088195963,Not Award Winning,Not Crunchyroll Winner
texhnolyze,7.75,250000.0,0.1255578651213572,Not Award Winning,Not Crunchyroll Winner
soul eater,7.85,150000.0,0.172361202752818,Not Award Winning,Not Crunchyroll Winner
fairy tail,7.57,100000.0,0.193016180973498,Not Award Winning,Not Crunchyroll Winner
mayo chiki,7.21,250000.0,0.1764705882352941,Not Award Winning,Not Crunchyroll Winner
mob psycho,8.49,250000.0,0.1230429292929292,Not Award Winning,Not Crunchyroll Winner
oshi no ko,8.57,100000.0,0.0420625475627687,Award Winning,Not Crunchyroll Winner
amagami ss,7.28,100000.0,0.1814508723599632,Not Award Winning,Not Crunchyroll Winner
death note,8.62,100000.0,0.1091567857142857,Not Award Winning,Not Crunchyroll Winner
edens zero,7.26,250000.0,0.13967770380661,Not Award Winning,Not Crunchyroll Winner
elfen lied,7.46,300000.0,0.1407258064516129,Not Award Winning,Not Crunchyroll Winner
yuri on ice,7.9,200000.0,0.0965071905759946,Award Winning,Crunchyroll Award Winner
shaman king,7.73,150000.0,0.1024998889431088,Not Award Winning,Not Crunchyroll Winner
golden time,7.74,200000.0,0.2763512444520967,Not Award Winning,Not Crunchyroll Winner
devils line,6.83,250000.0,0.1401124338624338,Not Award Winning,Not Crunchyroll Winner
dragon ball,7.98,100000.0,0.1653338381333173,Not Award Winning,Not Crunchyroll Winner
kakushigoto,7.97,250000.0,-0.0071428571428571,Not Award Winning,Not Crunchyroll Winner
log horizon,7.9,150000.0,0.1694696969696969,Not Award Winning,Not Crunchyroll Winner
date a live,7.14,300000.0,0.0907013964970784,Not Award Winning,Not Crunchyroll Winner
blue period,7.79,100000.0,0.0779170091511863,Not Award Winning,Not Crunchyroll Winner
tokyo ghoul,7.79,150000.0,0.0814189189189189,Not Award Winning,Not Crunchyroll Winner
accel world,7.2,250000.0,0.1079217980295566,Not Award Winning,Not Crunchyroll Winner
bocchi rock,8.75,300000.0,0.0856244708994709,Not Award Winning,Not Crunchyroll Winner
angel beats,8.05,200000.0,0.0687961548255665,Not Award Winning,Not Crunchyroll Winner
hinamatsuri,8.12,250000.0,0.0,Not Award Winning,Not Crunchyroll Winner
banana fish,8.45,300000.0,0.1396250553171144,Not Award Winning,Not Crunchyroll Winner
chihayafuru,8.18,200000.0,0.313644527168234,Not Award Winning,Not Crunchyroll Winner
b beginning,7.15,200000.0,0.0495271417853597,Not Award Winning,Not Crunchyroll Winner
dimension w,7.17,150000.0,0.2567440459990668,Not Award Winning,Not Crunchyroll Winner
engage kiss,6.79,100000.0,0.0923844984802431,Not Award Winning,Not Crunchyroll Winner
golden kamuy,7.88,300000.0,0.1890534979423868,Not Award Winning,Not Crunchyroll Winner
katanagatari,8.3,150000.0,0.2833333333333334,Not Award Winning,Not Crunchyroll Winner
kemono jihen,7.36,250000.0,0.1625,Not Award Winning,Not Crunchyroll Winner
tokyo ravens,7.4,300000.0,0.3249999999999999,Not Award Winning,Not Crunchyroll Winner
black bullet,7.07,300000.0,-0.0675396825396825,Not Award Winning,Not Crunchyroll Winner
cowboy bebop,8.75,250000.0,0.0780420332355816,Award Winning,Not Crunchyroll Winner
black clover,8.14,100000.0,-0.0550138626879323,Not Award Winning,Not Crunchyroll Winner
afro samurai,7.37,100000.0,0.1757731445814073,Not Award Winning,Not Crunchyroll Winner
flying witch,7.5,100000.0,0.085116954985119,Not Award Winning,Not Crunchyroll Winner
chainsaw man,8.45,250000.0,0.10658633372048,Not Award Winning,Not Crunchyroll Winner
strike blood,7.01,100000.0,-0.0060871848739495,Not Award Winning,Not Crunchyroll Winner
absolute duo,6.41,300000.0,0.1874045138888889,Not Award Winning,Not Crunchyroll Winner
sakura trick,6.94,200000.0,0.2,Not Award Winning,Not Crunchyroll Winner
kill la kill,8.03,150000.0,0.1463520439931888,Not Award Winning,Not Crunchyroll Winner
just because,7.23,150000.0,0.1094718709379924,Not Award Winning,Not Crunchyroll Winner
darwins game,7.21,200000.0,-0.2250800264550264,Not Award Winning,Not Crunchyroll Winner
platinum end,6.02,200000.0,0.0277958152958152,Not Award Winning,Not Crunchyroll Winner
wind breaker,7.74,200000.0,0.2163199454866121,Not Award Winning,Not Crunchyroll Winner
guilty crown,7.4,250000.0,-0.0977298592392932,Not Award Winning,Not Crunchyroll Winner
vinland saga,8.81,150000.0,0.2307931178669815,Not Award Winning,Not Crunchyroll Winner
death parade,8.13,100000.0,0.0517486135868488,Not Award Winning,Not Crunchyroll Winner
black lagoon,8.03,200000.0,0.0401431820812289,Not Award Winning,Not Crunchyroll Winner
solo leveling,8.25,300000.0,-0.0474573863636363,Not Award Winning,Crunchyroll Award Winner
made in abyss,8.63,200000.0,0.120740333770464,Not Award Winning,Crunchyroll Award Winner
akame ga kill,7.48,250000.0,0.1798766836462149,Not Award Winning,Not Crunchyroll Winner
flip flappers,7.62,300000.0,0.1875,Not Award Winning,Not Crunchyroll Winner
dagashi kashi,6.6,150000.0,0.0744285714285714,Not Award Winning,Not Crunchyroll Winner
hi score girl,7.75,300000.0,0.0627445609945609,Not Award Winning,Not Crunchyroll Winner
world trigger,7.58,200000.0,0.1076237279946855,Not Award Winning,Not Crunchyroll Winner
fruits basket,8.95,250000.0,0.2303086298111629,Not Award Winning,Not Crunchyroll Winner
knights magic,7.07,150000.0,0.5,Not Award Winning,Not Crunchyroll Winner
tokyo ghoulre,6.37,200000.0,0.12057252100145,Not Award Winning,Not Crunchyroll Winner
trinity seven,7.03,150000.0,0.1185416666666666,Not Award Winning,Not Crunchyroll Winner
akudama drive,7.57,250000.0,0.2260909090909091,Not Award Winning,Not Crunchyroll Winner
sabikui bisco,7.14,200000.0,0.2869047619047619,Not Award Winning,Not Crunchyroll Winner
one punch man,8.48,100000.0,0.1407441594140812,Not Award Winning,Not Crunchyroll Winner
tamako market,7.4,300000.0,0.2992716836734694,Not Award Winning,Not Crunchyroll Winner
goblin slayer,7.42,200000.0,0.0901603375691294,Not Award Winning,Not Crunchyroll Winner
prison school,7.59,300000.0,-0.0116431569556569,Not Award Winning,Not Crunchyroll Winner
nisemonogatari,8.13,300000.0,0.1,Not Award Winning,Not Crunchyroll Winner
bakemonogatari,8.32,100000.0,0.0273464285714285,Not Award Winning,Not Crunchyroll Winner
kaze no stigma,7.15,100000.0,0.0985892084106369,Not Award Winning,Not Crunchyroll Winner
tomodachi game,7.71,200000.0,-0.2336834805993782,Not Award Winning,Not Crunchyroll Winner
carole tuesday,7.84,200000.0,0.1603125,Not Award Winning,Not Crunchyroll Winner
urusei yatsura,7.71,250000.0,0.2419478438228438,Not Award Winning,Not Crunchyroll Winner
pandora hearts,7.64,200000.0,0.1187253213957759,Not Award Winning,Not Crunchyroll Winner
little busters,7.48,100000.0,0.156989035179392,Not Award Winning,Not Crunchyroll Winner
haibane renmei,7.98,300000.0,0.0416666666666666,Not Award Winning,Not Crunchyroll Winner
isekai quartet,7.37,150000.0,0.1572137445887446,Not Award Winning,Not Crunchyroll Winner
hanamonogatari,7.91,250000.0,0.580952380952381,Not Award Winning,Not Crunchyroll Winner
lycoris recoil,8.15,200000.0,0.0906357142857142,Not Award Winning,Not Crunchyroll Winner
non non biyori,7.94,100000.0,0.20625,Not Award Winning,Not Crunchyroll Winner
jujutsu kaisen,8.54,250000.0,0.0,Award Winning,Crunchyroll Award Winner
vampire knight,6.84,300000.0,0.1819664840367965,Not Award Winning,Not Crunchyroll Winner
kokoro connect,7.73,200000.0,0.1745833333333333,Not Award Winning,Not Crunchyroll Winner
fatestay night,7.27,100000.0,0.1796507123706197,Not Award Winning,Not Crunchyroll Winner
romantic killer,7.94,200000.0,-0.0541714578823953,Not Award Winning,Not Crunchyroll Winner
owarimonogatari,8.45,100000.0,0.1619791666666666,Not Award Winning,Not Crunchyroll Winner
gabriel dropout,7.43,100000.0,0.1534374999999999,Not Award Winning,Not Crunchyroll Winner
tsukimonogatari,8.08,250000.0,0.09,Not Award Winning,Not Crunchyroll Winner
eromanga sensei,6.32,200000.0,0.0,Not Award Winning,Not Crunchyroll Winner
tokyo magnitude,8.0,200000.0,-0.0090067340067339,Award Winning,Not Crunchyroll Winner
diabolik lovers,5.18,250000.0,0.0336640211640211,Not Award Winning,Not Crunchyroll Winner
high school dxd,7.32,250000.0,0.2128715728715728,Not Award Winning,Not Crunchyroll Winner
hunter x hunter,9.03,150000.0,0.147775129716619,Not Award Winning,Not Crunchyroll Winner
attack on titan,8.56,200000.0,0.0833838725418435,Award Winning,Crunchyroll Award Winner
tokyo revengers,7.85,200000.0,0.1295196280991735,Not Award Winning,Not Crunchyroll Winner
girls und panzer,7.53,150000.0,0.0730181277056277,Not Award Winning,Not Crunchyroll Winner
outbreak company,7.16,150000.0,-0.0049019607843137,Not Award Winning,Not Crunchyroll Winner
zombie land saga,7.5,200000.0,0.1283992042843421,Award Winning,Not Crunchyroll Winner
plastic memories,7.91,100000.0,-0.0277570378339609,Not Award Winning,Not Crunchyroll Winner
happy sugar life,6.76,200000.0,0.3857063560129598,Not Award Winning,Not Crunchyroll Winner
devilman crybaby,7.74,200000.0,0.187446793348021,Not Award Winning,Crunchyroll Award Winner
full metal panic,7.59,200000.0,0.2551388888888889,Not Award Winning,Not Crunchyroll Winner
sword art online,7.22,150000.0,0.0525898006815156,Not Award Winning,Not Crunchyroll Winner
my hero academia,7.84,200000.0,0.1412353138031041,Not Award Winning,Not Crunchyroll Winner
koyomimonogatari,7.62,150000.0,-0.1666666666666666,Not Award Winning,Not Crunchyroll Winner
himouto umaruchan,7.09,200000.0,-0.0126785714285714,Not Award Winning,Not Crunchyroll Winner
persona animation,7.51,250000.0,0.0469467507543258,Not Award Winning,Not Crunchyroll Winner
violet evergarden,8.68,150000.0,0.1750868484008251,Not Award Winning,Not Crunchyroll Winner
darling in franxx,7.19,150000.0,0.0923368193471286,Not Award Winning,Not Crunchyroll Winner
your lie in april,8.64,300000.0,0.1208051550647828,Not Award Winning,Not Crunchyroll Winner
digimon adventure,7.24,150000.0,0.1194934921980376,Not Award Winning,Not Crunchyroll Winner
mekakucity actors,7.01,300000.0,0.1883809523809523,Not Award Winning,Not Crunchyroll Winner
cardcaptor sakura,8.18,300000.0,0.125399041156685,Not Award Winning,Not Crunchyroll Winner
hamatora animation,7.24,150000.0,0.35,Not Award Winning,Not Crunchyroll Winner
deadman wonderland,7.13,250000.0,0.0124999999999999,Not Award Winning,Not Crunchyroll Winner
promised neverland,8.48,100000.0,0.1142706096739002,Not Award Winning,Not Crunchyroll Winner
god of high school,7.07,200000.0,0.1451148430312875,Not Award Winning,Not Crunchyroll Winner
ping pong animation,8.62,150000.0,0.173757855379518,Award Winning,Not Crunchyroll Winner
wonder egg priority,7.55,200000.0,0.134059829059829,Not Award Winning,Not Crunchyroll Winner
fullmetal alchemist,8.11,100000.0,0.2861637788635415,Award Winning,Not Crunchyroll Winner
arakawa under bridge,7.56,250000.0,0.0679029304029304,Not Award Winning,Not Crunchyroll Winner
amagi brilliant park,7.45,100000.0,0.4857291666666667,Not Award Winning,Not Crunchyroll Winner
cyberpunk edgerunners,8.7,100000.0,0.1291438019652305,Not Award Winning,Crunchyroll Award Winner
little witch academia,7.8,100000.0,-0.0746512445887445,Not Award Winning,Not Crunchyroll Winner
magi kingdom of magic,8.2,200000.0,0.2063190743239444,Not Award Winning,Not Crunchyroll Winner
dead mount death play,7.27,150000.0,-0.0732142857142857,Not Award Winning,Not Crunchyroll Winner
isekai cheat magician,5.48,100000.0,0.1308455212228432,Not Award Winning,Not Crunchyroll Winner
aharensan wa hakarenai,7.28,250000.0,0.1160160098522167,Not Award Winning,Not Crunchyroll Winner
magi labyrinth of magic,8.01,200000.0,0.1486508190455294,Not Award Winning,Not Crunchyroll Winner
serial experiments lain,8.09,150000.0,0.0835035369637025,Award Winning,Not Crunchyroll Winner
assassination classroom,8.07,150000.0,0.2203409090909091,Not Award Winning,Not Crunchyroll Winner
monogatari series second,8.76,300000.0,0.0860053744847133,Not Award Winning,Not Crunchyroll Winner
love live school idol project,7.4,300000.0,0.239505162083287,Not Award Winning,Not Crunchyroll Winner
demon slayer kimetsu no yaiba,8.43,150000.0,0.1042760824287917,Award Winning,Crunchyroll Award Winner
panty stocking with garterbelt,7.74,150000.0,0.0696282405334129,Not Award Winning,Not Crunchyroll Winner
boruto naruto next generations,5.99,300000.0,0.0404768992700693,Not Award Winning,Not Crunchyroll Winner
